,author,word_count,sentence_count,type_token_ratio,vocab_size,stopword_ratio,hapax_legomena_ratio,hapax_dislegomena_ratio,average_num_syllables,std_num_syllables,average_sent_len,std_sent_len,average_syllables_vocabulary,average_word_len,std_word_len,flesch_reading_ease,dale_chall_reading_ease,gunning_fog_index,noun_count,verb_count,adj_count,adv_count,pron_count,det_count,adp_count,intj_count,num_count,part_count,propn_count,sym_count,x_count,period_count,exclam_count,quest_count,simple_count,compound_count,complex_count,compound_complex_count
0,215223,1000,139,0.433,433,0.558,0.294,0.062,1.344,0.6794586080108191,64.79136690647482,43.817061625564,1.6143187066974596,4.151,2.2843377596143704,85.83044172661873,19.7833345323741,5.437697841726619,156,131,69,72,149,112,130,5,4,39,15,2,0,161,4,10,60,17,32,30
1,215223,1000,134,0.515,515,0.497,0.382,0.063,1.392,0.717172224782862,61.40298507462686,48.605957408191664,1.6349514563106795,4.268,2.4112602514038173,81.49717313432839,19.796649253731346,6.2650746268656725,148,121,77,66,144,95,115,7,6,24,99,0,0,141,1,10,68,30,19,17
2,215223,1000,114,0.458,458,0.53,0.306,0.067,1.322,0.6513954252218848,67.60526315789474,47.94891624208411,1.5698689956331877,4.09,2.219436865513412,86.09029122807017,19.86158771929825,5.828771929824562,140,141,64,67,137,84,127,4,7,48,70,0,1,127,3,8,47,25,16,26
3,215223,1000,85,0.524,524,0.481,0.396,0.06,1.436,0.8318076700776448,86.85882352941177,80.45519804669902,1.7118320610687023,4.463,2.589330222277568,73.40822352941179,20.010029411764705,8.345882352941178,158,136,55,51,144,92,134,3,7,27,113,3,2,91,5,9,30,18,23,14
4,215223,1000,120,0.478,478,0.527,0.336,0.071,1.362,0.6759852069387317,56.03333333333333,43.87955737647721,1.606694560669456,4.323,2.2949228745210593,83.15146666666666,19.83983333333333,6.413333333333334,151,143,56,72,158,101,107,6,5,53,41,1,1,134,0,17,58,12,23,27
5,215223,1000,104,0.51,510,0.495,0.379,0.065,1.345,0.6956831175183138,65.59615384615384,50.09558540944295,1.6098039215686275,4.243,2.3047670164248704,83.28838461538463,19.903423076923076,6.726153846153847,172,120,75,63,125,96,104,9,4,41,97,0,1,113,9,8,53,17,13,21
6,215223,1000,101,0.467,467,0.518,0.32,0.08,1.393,0.7117239633453408,67.88118811881188,40.97869215177032,1.6616702355460387,4.323,2.2831274603052716,78.93769504950497,19.91758910891089,7.44039603960396,185,134,58,56,124,107,111,1,8,26,47,0,2,102,0,2,41,29,12,19
7,215223,1000,83,0.539,539,0.5,0.421,0.059,1.448,0.9259028026742332,84.6987951807229,72.65096205629376,1.7606679035250463,4.585,3.273037579985907,72.10528433734943,20.024090361445786,8.499277108433736,182,135,86,73,128,107,116,5,4,31,52,1,0,97,6,8,34,13,16,20
8,215223,1000,83,0.483,483,0.519,0.341,0.078,1.282,0.5444960973230203,75.43373493975903,53.916757073095006,1.4865424430641823,4.106,1.968949973970898,86.14888433734941,20.024090361445786,6.259277108433736,146,150,48,70,162,120,118,8,2,21,68,0,0,97,3,7,29,17,17,20
9,215223,1000,86,0.527,527,0.47,0.406,0.068,1.39,0.6927481504847199,75.98837209302326,61.34945540707975,1.618595825426945,4.325,2.391521482236779,77.43867441860469,20.003244186046516,7.771162790697675,171,116,79,59,124,104,103,2,7,28,115,0,1,81,7,9,43,17,9,17
10,215223,1000,92,0.458,458,0.543,0.321,0.057,1.363,0.7383975893785136,66.83695652173913,50.26133382326579,1.6703056768558953,4.234,2.4263643584589683,80.49259130434783,19.96563043478261,7.267826086956522,137,138,82,78,160,87,111,4,7,47,33,0,2,114,4,6,45,12,15,20
11,215223,1000,78,0.514,514,0.507,0.381,0.077,1.409,0.7305607435388244,76.6923076923077,66.08372849346225,1.7042801556420233,4.337,2.4676772479398514,74.62077948717949,20.062397435897438,8.28820512820513,150,136,91,68,151,93,116,1,3,34,67,0,0,87,0,4,35,15,13,15
12,215223,1000,92,0.492,492,0.54,0.355,0.066,1.369,0.6847181902067448,62.98913043478261,43.199862762769484,1.6097560975609757,4.253,2.331735619661886,79.98499130434783,19.96563043478261,7.267826086956522,144,146,65,71,165,90,114,5,0,38,40,0,2,107,2,3,40,15,13,24
13,215223,1000,79,0.469,469,0.514,0.331,0.066,1.347,0.6712607541037984,72.51898734177215,44.411727485147765,1.6204690831556503,4.182,2.2818580148642025,80.03069873417724,20.054348101265823,7.543291139240506,164,127,72,91,135,108,103,2,2,38,37,0,1,89,0,4,32,15,8,24
14,215223,1000,108,0.472,472,0.532,0.331,0.064,1.317,0.6037474637627888,51.611111111111114,40.51241998251285,1.5381355932203389,4.14,2.1294130646729865,86.01865185185187,19.88575925925926,5.543703703703704,133,154,65,74,175,90,112,11,3,48,28,0,1,107,0,17,50,17,28,13
15,215223,1000,96,0.489,489,0.505,0.356,0.059,1.359,0.7198048346600625,58.75,69.54120481172775,1.6278118609406953,4.187,2.4166156086560395,81.29068333333336,19.94316666666667,6.966666666666668,163,137,83,67,159,99,107,10,7,35,45,0,0,98,2,8,55,15,15,11
16,215223,1000,65,0.506,506,0.488,0.375,0.061,1.377,0.7529083609576932,87.66153846153846,74.12635302655697,1.6264822134387351,4.251,2.4174364521120304,74.7254153846154,20.18957692307692,9.033846153846154,154,136,54,63,147,83,95,4,10,42,100,0,3,84,6,3,26,12,10,17
17,215223,1000,88,0.51,510,0.482,0.368,0.068,1.403,0.8188962083194672,63.40909090909091,59.49018948220033,1.6549019607843136,4.379,2.691720453538963,76.6071090909091,19.990136363636367,7.065454545454546,157,127,71,73,147,90,104,9,9,29,89,1,2,95,0,4,51,11,12,14
18,215223,1000,84,0.482,482,0.532,0.347,0.068,1.372,0.7373031940796135,64.35714285714286,58.65793553612797,1.6369294605809128,4.185,2.3594014071369886,78.68046666666666,20.016976190476193,7.801904761904763,166,141,62,48,155,112,105,12,8,34,47,2,1,93,0,4,39,19,10,16
19,215223,1000,91,0.442,442,0.549,0.285,0.083,1.341,0.6608471835454851,57.26373626373626,51.932719611629366,1.6176470588235294,4.069,2.234779407458374,82.23255384615386,19.971554945054947,6.915604395604396,164,127,54,85,184,83,127,10,8,33,36,0,0,96,0,16,52,10,18,11
20,215223,1000,72,0.476,476,0.51,0.341,0.07,1.4,0.752329714952161,75.0,52.88640867200402,1.6575630252100841,4.298,2.3480195910596655,74.2977777777778,20.115388888888887,8.755555555555556,144,140,64,69,158,78,116,6,9,46,64,1,0,86,3,4,33,8,15,16
21,215223,1000,118,0.502,502,0.503,0.361,0.065,1.333,0.6527717824783789,44.46610169491525,33.84102469784016,1.5816733067729083,4.233,2.248268444825929,85.4615050847458,19.84683898305085,6.069830508474578,163,124,83,80,148,79,108,0,5,32,60,2,2,114,1,12,62,13,25,18
